TIME,COURSE,IMP_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/24 12:16:45 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,3,"My focus is largely with mechanical engineering, and I am taking this course to assist in my learning.",Man,25-34
2020/09/24 12:29:58 PM EST,CMP 239 Internet & Web Page Design,Some Impact,Some Impact,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,No Impact,Some Impact,Some Impact,Some Impact,N/A,Information Technology,,,,,,,,,,Yes,,,First Choice,,,Man,19-20
2020/09/24 12:32:56 PM EST,CMP 130 Intro to IT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,Yes,,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/24 12:34:43 PM EST,CMP 130 Intro to IT,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,,,,,,,,,Yes,,,First Choice,,,Man,18 and younger
2020/09/24 12:43:05 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,,,,,,,,,Yes,,,First Choice,,,Man,21-24
2020/09/24 1:03:07 PM EST,CMP 130 Intro to IT,Some Impact,Some Impact,Some Impact,N/A,Some Impact,N/A,N/A,Some Impact,N/A,Some Impact,N/A,N/A,N/A,N/A,Undecided,,,,,,,,,,,,,,4,It's what I want to do in the future.,Man,19-20
2020/09/24 1:03:44 PM EST,CMP 130 Intro to IT,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,,Yes,,,,,Yes,,Yes,,First Choice,,,Man,19-20
2020/09/24 1:06:24 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,N/A,Information Technology,Yes,,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/24 1:07:54 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Information Technology,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,First Choice,,,Man,21-24
2020/09/24 1:13:30 PM EST,CMP 130 Intro to IT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Impact,No Impact,No Impact,Information Technology,,Yes,,Yes,,Yes,,,Yes,,,Yes,Hospitality,,,Man,35-64
2020/09/24 1:15:45 PM EST,CMP 130 Intro to IT,Some Impact,N/A,Some Impact,N/A,N/A,N/A,N/A,High Impact,High Impact,N/A,N/A,N/A,Some Impact,N/A,Computer Science,Yes,Yes,,Yes,,,,,,,,,First Choice,,,Woman,25-34
2020/09/24 1:23:11 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Information Technology,,Yes,,Yes,,Yes,,,,,,Yes,First Choice,,,Man,35-64
2020/09/24 1:28:06 PM EST,CMP 131 Fundamentals of Programming (Python),High Impact,High Impact,High Impact,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,N/A,N/A,High Impact,N/A,Information Technology,,,,Yes,,Yes,,,Yes,Yes,,,First Choice,,,Man,35-64
2020/09/24 1:28:49 PM EST,CMP 120 Foundations of Information Security,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,N/A,Information Technology,Yes,Yes,,,,Yes,,,,Yes,,,First Choice,,,Man,19-20
2020/09/24 1:30:00 PM EST,CMP 130 Intro to IT,Some Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Challenger Program,,Yes,Yes,,,,,,,Yes,Yes,,First Choice,,,Man,18 and younger
2020/09/24 1:31:23 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,,Yes,,,,,Yes,,Yes,Yes,First Choice,,,Man,18 and younger
2020/09/24 1:59:10 PM EST,CMP 130 Intro to IT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,High Impact,N/A,N/A,N/A,N/A,N/A,Information Technology,Yes,,,Yes,Yes,,,,,Yes,,,Radiography,,,Woman,19-20
2020/09/24 2:03:06 PM EST,CMP 130 Intro to IT,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Information Technology,Yes,,,Yes,Yes,,,,,,,,First Choice,,,Woman,35-64
2020/09/24 2:05:07 PM EST,CMP 130 Intro to IT,N/A,No Impact,Some Impact,No Impact,N/A,N/A,N/A,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,N/A,Computer Science,Yes,Yes,,,,,,,Yes,,,Yes,First Choice,,,Man,19-20
2020/09/24 2:28:18 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Business,,,,,,,,,,,,,,1,I just don't find the class that interesting and it has little to do with the career I wish to have in the future. ,Woman,19-20
2020/09/24 2:45:24 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,Information Technology,,Yes,,,,,,,,,,,Architecture,,,Man,25-34
2020/09/24 2:50:41 PM EST,CMP 120 Foundations of Information Security,High Impact,Some Impact,High Impact,N/A,N/A,High Impact,N/A,High Impact,High Impact,High Impact,No Impact,N/A,N/A,N/A,Computer Science,Yes,Yes,,Yes,,,,,,,Yes,,First Choice,,,Prefer not to say,18 and younger
2020/09/24 3:19:18 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,,,Yes,Yes,Yes,,,,Yes,Yes,,Engineering,,,Man,25-34
2020/09/24 3:19:26 PM EST,CMP 128 Computer Science I,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,,,,,,,,,,,Mechanical Engineering and Technology ,,,Man,19-20
2020/09/24 3:23:47 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,,,,Yes,,,,,,,Yes,First Choice,,,Man,25-34
2020/09/24 3:33:29 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Engineering,,,,,,,,,,,,,,5,These types of classes are what will help me become successful in my chosen career.,Woman,21-24
2020/09/24 3:48:30 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,5,"In my career, I need to use a lot of tools involving computers",Man,21-24
2020/09/24 3:58:59 PM EST,CMP 128 Computer Science I,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,High Impact,Some Impact,N/A,Some Impact,Some Impact,N/A,Information Security Certificate of Achievement,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,Business,,,Man,19-20
2020/09/24 4:01:19 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,,Yes,,Yes,,,,,Yes,Yes,First Choice,,,Woman,25-34
2020/09/24 4:19:14 PM EST,CMP 130 Intro to IT,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,,,,Yes,,,,,Yes,,First Choice,,,Woman,18 and younger
2020/09/24 5:01:22 PM EST,CMP 130 Intro to IT,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Information Technology,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,First Choice,,,Man,25-34
2020/09/24 5:01:41 PM EST,CMP 128 Computer Science I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,No Impact,Some Impact,Nursing,,,,,,,,,,,,,,1,Not within my interests,Woman,18 and younger
2020/09/24 5:26:35 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,N/A,Information Technology,Yes,,,,,,,,,,,Yes,Electronical Engineering ,,,Man,21-24
2020/09/24 5:34:53 PM EST,CMP 130 Intro to IT,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Information Security Certificate of Achievement,Yes,,,,,,,,,Yes,,,Engineering,,,Man,21-24
2020/09/24 5:52:54 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Information Technology,Yes,,,,,,,,,Yes,,,First Choice,,,Woman,19-20
2020/09/24 6:38:53 PM EST,CMP 120 Foundations of Information Security,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,,,,,,,,,,,,First Choice,,,Man,19-20
2020/09/24 6:52:46 PM EST,CMP 128 Computer Science I,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,CIS Game Development,Yes,,,Yes,,Yes,,,Yes,,,,First Choice,,,Woman,18 and younger
2020/09/24 7:43:43 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,CIS Game Development,,Yes,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/24 9:44:52 PM EST,CMP 130 Intro to IT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,Yes,,,,,,,,,,,,First Choice,,,Man,25-34
2020/09/24 10:15:13 PM EST,CMP 120 Foundations of Information Security,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Security Certificate of Achievement,,,,,,,,,,Yes,,,First Choice,,,Man,25-34
2020/09/24 10:17:30 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,N/A,Computer Science,Yes,Yes,,,Yes,,,,,,,,First Choice,,,Man,35-64
2020/09/24 10:34:04 PM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,,,Yes,Yes,,Yes,,,,,Yes,First Choice,,,Man,25-34
2020/09/24 11:44:26 PM EST,CMP 128 Computer Science I,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,ShareTime CSIP Program,Yes,,,Yes,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/25 1:01:40 AM EST,CMP 130 Intro to IT,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Information Technology,Yes,,,,,Yes,,,,Yes,,,First Choice,,,Man,18 and younger
2020/09/25 6:17:57 AM EST,CMP 120 Foundations of Information Security,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,,,,,,,,,,,,First Choice,,,Man,19-20
2020/09/25 8:15:18 AM EST,CMP 128 Computer Science I,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,Computer Science,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,Biology,,,Man,19-20
2020/09/25 9:15:53 AM EST,CMP 128 Computer Science I,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Computer Science,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,,First Choice,,,Man,18 and younger
2020/09/25 9:16:06 AM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,N/A,Computer Science,Yes,Yes,,,,Yes,,,,,,,First Choice,,,Man,18 and younger
2020/09/25 10:18:08 AM EST,CMP 120 Foundations of Information Security,Some Impact,Some Impact,Some Impact,N/A,Some Impact,Some Impact,N/A,Some Impact,Some Impact,No Impact,No Impact,N/A,No Impact,N/A,Computer Science,Yes,Yes,,,,,,,,,,,First Choice,,,Prefer not to say,21-24
2020/09/25 10:43:01 AM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,Business,,,,,,,,,,,,,,3,well I'm a business student and I'll be graduating soon from CCM. I might take some IT classes in the future but for now I'm focused on business. ,Man,25-34
2020/09/25 12:17:50 PM EST,CMP 128 Computer Science I,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Business,,,,,,,,,,,,,,5,Professor Stoll is my professor for CMP-128 and so far class seems like it is going to be very informational and fun at the same time! ,Woman,21-24
2020/09/25 6:58:19 PM EST,CMP 120 Foundations of Information Security,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,N/A,Information Technology,Yes,,,,,,,,,,,,First Choice,,,Man,21-24
2020/09/25 9:48:46 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,Yes,,Yes,,Yes,,,,Yes,Yes,Yes,Exercise science,,,Man,19-20
2020/09/26 4:30:27 PM EST,CMP 120 Foundations of Information Security,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,Computer Science,Yes,Yes,,,,,,,,Yes,,,First Choice,,,Man,19-20
2020/09/26 6:22:05 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,3,It is interesting to learn how to code and create different things by typing in set commands.,Man,19-20
2020/09/26 7:16:44 PM EST,CMP 131 Fundamentals of Programming (Python),N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,N/A,N/A,N/A,N/A,High Impact,High Impact,Computer Science,Yes,Yes,,,Yes,Yes,,,,,,,Hospitality,,,Woman,25-34
2020/09/27 10:10:27 AM EST,CMP 128 Computer Science I,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,4,I find program interesting and fun.,Man,19-20
2020/09/27 11:39:12 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,N/A,Computer Science,Yes,Yes,,,,,,,,,,,Physics,,,Man,19-20
2020/09/28 10:55:41 AM EST,CMP 128 Computer Science I,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,,Yes,,,,,,,,,,,First Choice,,,Man,19-20
2020/09/28 11:15:36 AM EST,CMP 239 Internet & Web Page Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,Some Impact,N/A,N/A,N/A,N/A,N/A,Computer Science,Yes,Yes,,,Yes,Yes,,,,,,Yes,Mathematics,,,Man,21-24
2020/09/29 4:38:45 AM EST,CMP 131 Fundamentals of Programming (Python),High Impact,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,High Impact,N/A,N/A,N/A,N/A,N/A,Computer Science,Yes,Yes,,,,,,,,,Yes,,First Choice,,,Man,19-20
2020/09/30 2:35:28 PM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Information Technology,Yes,Yes,,Yes,,,,,Yes,Yes,,,First Choice,,,Man,19-20
2020/09/30 6:08:29 PM EST,CMP 120 Foundations of Information Security,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Computer Science,Yes,,,,,,,,,,,,First Choice,,,Non-binary,19-20
2020/10/01 12:30:53 AM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Business,,,,,,,,,,,,,,4,"Always taken an interest in comp sci and at ccm, I can take an affordable(ish) class that shows the basics as I have been trying to self teach different coding languages.",Man,19-20
2020/10/03 10:09:30 AM EST,CMP 128 Computer Science I,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,N/A,Computer Science,Yes,,,,Yes,Yes,,,,,Yes,,First Choice,,,Man,25-34
2020/10/05 5:34:38 PM EST,CMP 120 Foundations of Information Security,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,,Yes,,Yes,,,Yes,Yes,Yes,Yes,First Choice,,,Man,21-24
2020/10/08 7:38:17 PM EST,CMP 131 Fundamentals of Programming (Python),High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,ShareTime CSIP Program,Yes,,Yes,Yes,,,,,,Yes,,,First Choice,,,Woman,18 and younger
2020/10/10 7:00:32 PM EST,CMP 130 Intro to IT,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Challenger Program,Yes,,Yes,,,,,,,Yes,Yes,,First Choice,,,Man,18 and younger
2020/10/13 5:07:17 PM EST,CMP 130 Intro to IT,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,N/A,Computer Science,,,,,,Yes,,,,,,,First Choice,,,Man,21-24
2020/10/14 10:08:02 AM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,,,,,,,,,,,,First Choice,,,Man,19-20
2020/10/14 6:18:25 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,N/A,Computer Science,Yes,Yes,,Yes,Yes,Yes,Yes,,,,Yes,Yes,First Choice,,,Prefer not to say,25-34
2020/10/22 6:59:06 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,N/A,Undecided,,,,,,,,,,,,,,2,Computer science is not my major ,Woman,19-20
2020/10/26 1:27:44 PM EST,CMP 128 Computer Science I,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,,,,,,,Yes,Yes,,,First Choice,,,Man,18 and younger
2021/10/03 9:49:52 PM EST,CMP 128 Computer Science I,N/A,N/A,Some Impact,N/A,N/A,N/A,N/A,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,N/A,Non Degree seeking,,,,,,,,,,,,,,5,this is my first computing class and i realized that i really enjoy this subject,Woman,18 and younger
2021/10/04 6:31:09 AM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Electronics Engineering Technology,,,,,,,,,,,,,,5,I have always been interested in computing and robotics,Man,19-20
2021/10/04 7:57:04 AM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,First Choice,,,Man,18 and younger
2021/10/04 9:20:16 AM EST,CMP 128 Computer Science I,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,First Choice,,,Man,35-64
2021/10/04 11:26:08 AM EST,CMP 128 Computer Science I,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,4,"At first, I was just taking this class because of it being a requirement for my major, however, the teacher made the class more interesting and made me more inclined to be more interested in things related to this class.",Man,19-20
2021/10/04 12:20:25 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,Yes,No,No,No,First Choice,,,Man,18 and younger
2021/10/04 12:20:41 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Electronics Engineering Technology,,,,,,,,,,,,,,5,Programming is fun.,Man,19-20
2021/10/04 12:20:47 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,3,I am not sure if computer science is a field that I want to study yet.,Woman,18 and younger
2021/10/04 12:20:55 PM EST,CMP 128 Computer Science I,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mathematics,,,,,,,,,,,,,,4,The field I plan to go into requires a high level of knowledge related to computing,Man,21-24
2021/10/04 12:21:08 PM EST,CMP 128 Computer Science I,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,First Choice,,,Man,18 and younger
2021/10/04 12:21:09 PM EST,CMP 128 Computer Science I,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Engineering,,,Man,25-34
2021/10/04 12:21:28 PM EST,CMP 128 Computer Science I,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,N/A,Non Degree seeking,,,,,,,,,,,,,,5,Really interesting class,Woman,18 and younger
2021/10/04 12:21:37 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,2,Its not something im interested in. Coding is something I don't find fun,Man,19-20
2021/10/04 12:23:01 PM EST,CMP 128 Computer Science I,N/A,Some Impact,N/A,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non Degree seeking,,,,,,,,,,,,,,4,Im interested in game design.,Woman,18 and younger
2021/10/04 12:23:02 PM EST,CMP 128 Computer Science I,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,High Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,First Choice,,,Man,35-64
2021/10/04 12:23:19 PM EST,CMP 128 Computer Science I,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,N/A,Liberal Arts,,,,,,,,,,,,,,3,It is a little complicated and not really my thing,Woman,19-20
2021/10/04 12:23:20 PM EST,CMP 128 Computer Science I,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,First Choice,,,Man,18 and younger
2021/10/04 12:24:12 PM EST,CMP 128 Computer Science I,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Non Degree seeking,,,,,,,,,,,,,,2,"My parents wanted me to take a computer class to see if it is something I would like to pursue as a career. They also believe that a basic knowledge in computers is important. I am just not a fan of computers. I like the class, but I would not see myself pursing a career that is solely about computers.",Woman,18 and younger
