TIME,COURSE,IMP_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/14 5:23:27 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,N/A,Electronics Engineering Technology,,,,,,,,,,,,,,5,I have programming experience at work and want to expand on it,Man,25-34
2020/09/14 8:31:52 PM EST,CMP 239 Internet & Web Page Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,N/A,Computer Science,Yes,,,Yes,Yes,Yes,,,,,,,Math,,,Woman,25-34
2020/09/14 9:13:39 PM EST,CMP 128 Computer Science I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,N/A,N/A,N/A,Some Impact,Some Impact,N/A,Undecided,,,,,,,,,,,,,,3,I picked 3 because I am not that good in computer programming but I am willing to learn. ,Woman,19-20
2020/09/14 9:13:45 PM EST,CMP 128 Computer Science I,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Computer Science,Yes,,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/15 2:40:49 AM EST,CMP 128 Computer Science I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,Some Impact,N/A,High Impact,N/A,High Impact,N/A,Electronics Engineering Technology,,,,,,,,,,,,,,5,I currently work with Flight Simulators and i deal with computer software & hardware and as well as mechanical hardware and would like to gain more knowledge in the Computer Science field.,Man,35-64
2020/09/16 6:47:42 AM EST,CMP 128 Computer Science I,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,N/A,Computer Science,Yes,,,,,,,,,Yes,,,Biology,,,Woman,18 and younger
2020/09/16 6:48:24 AM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Business,,,,,,,,,,,,,,3,"I took this class to get my requirements in. If I find the course more interesting as I go along, then I would take more computer courses. ",Woman,18 and younger
2020/09/16 10:44:06 AM EST,CMP 128 Computer Science I,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Electronics Engineering Technology,,,,,,,,,,,,,,4,Computing seems like a very interesting class to take because it would be fun to take.,Man,19-20
2020/09/16 12:12:03 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,3,"Depending on how this class goes, I will decide from there",Man,18 and younger
2020/09/16 1:09:14 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mathematics,,,,,,,,,,,,,,3,They are challenging,Man,19-20
