TIME,COURSE,IM_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/24 1:28:49 PM EST,CMP 120 Foundations of Information Security,2,1,1,0,0,0,0,1,1,1,1,1,1,N/A,Information Tech0logy,1,1,,,,1,,,,1,,,First Choice,,,Man,19-20
2020/09/24 1:30:00 PM EST,CMP 130 Intro to IT,1,0,0,2,2,2,0,1,2,0,0,1,0,0,Challenger Program,,1,1,,,,,,,1,1,,First Choice,,,Man,18 and younger
2020/09/24 1:31:23 PM EST,CMP 130 Intro to IT,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Information Tech0logy,1,1,,1,,,,,1,,1,1,First Choice,,,Man,18 and younger
2020/09/24 1:59:10 PM EST,CMP 130 Intro to IT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,N/A,N/A,N/A,N/A,N/A,Information Tech0logy,1,,,1,1,,,,,1,,,Radiography,,,Woman,19-20
2020/09/24 2:03:06 PM EST,CMP 130 Intro to IT,1,0,0,0,0,0,0,2,2,0,2,0,2,0,Information Tech0logy,1,,,1,1,,,,,,,,First Choice,,,Woman,35-64
2020/09/24 2:05:07 PM EST,CMP 130 Intro to IT,N/A,0,1,0,N/A,N/A,N/A,0,0,0,0,0,0,N/A,Computer Science,1,1,,,,,,,1,,,1,First Choice,,,Man,19-20
2020/09/24 2:28:18 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Business,,,,,,,,,,,,,,1,I just don't find the class that interesting and it has little to do with the career I wish to have in the future. ,Woman,19-20
2020/09/24 2:45:24 PM EST,CMP 130 Intro to IT,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Information Tech0logy,,1,,,,,,,,,,,Architecture,,,Man,25-34
2020/09/24 2:50:41 PM EST,CMP 120 Foundations of Information Security,2,1,2,N/A,N/A,2,N/A,2,2,2,0,N/A,N/A,N/A,Computer Science,1,1,,1,,,,,,,1,,First Choice,,,Prefer 0t to say,18 and younger
2020/09/24 3:19:18 PM EST,CMP 131 Fundamentals of Programming (Python),0,0,0,0,0,0,0,2,2,0,1,0,1,0,Information Tech0logy,1,,,1,1,1,,,,1,1,,Engineering,,,Man,25-34
